Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",1.38,1.39,1.33,1.36,"2,902,676","171,588,209"
"Sep 15, 2020",1.46,1.47,1.36,1.38,"4,580,936","173,401,788"
"Sep 14, 2020",1.41,1.50,1.39,1.46,"6,457,078","183,931,317"
"Sep 13, 2020",1.49,1.49,1.38,1.41,"3,422,143","177,171,299"
"Sep 12, 2020",1.45,1.49,1.44,1.49,"4,046,873","187,162,056"
"Sep 11, 2020",1.46,1.48,1.40,1.45,"2,956,151","181,724,976"
"Sep 10, 2020",1.41,1.48,1.39,1.46,"4,739,662","182,870,855"
"Sep 09, 2020",1.34,1.43,1.31,1.41,"4,082,300","176,791,124"
"Sep 08, 2020",1.41,1.41,1.30,1.34,"3,594,486","168,411,675"
"Sep 07, 2020",1.38,1.46,1.28,1.41,"6,498,104","176,636,375"
"Sep 06, 2020",1.36,1.41,1.28,1.38,"6,050,554","173,435,332"
"Sep 05, 2020",1.51,1.56,1.27,1.36,"8,284,377","170,917,641"
"Sep 04, 2020",1.43,1.53,1.38,1.50,"10,222,222","188,988,516"
"Sep 03, 2020",1.75,1.75,1.42,1.43,"10,442,527","179,715,680"
"Sep 02, 2020",1.86,1.87,1.68,1.75,"10,055,174","219,520,018"
"Sep 01, 2020",1.80,1.96,1.76,1.86,"19,585,633","233,541,137"
"Aug 31, 2020",1.79,1.83,1.75,1.80,"9,186,084","226,505,964"
"Aug 30, 2020",1.85,1.87,1.77,1.79,"10,032,252","224,419,984"
"Aug 29, 2020",1.79,1.87,1.76,1.85,"14,835,770","231,774,726"
"Aug 28, 2020",1.64,1.79,1.62,1.79,"9,611,183","224,909,664"
"Aug 27, 2020",1.80,1.84,1.59,1.64,"12,774,096","205,361,953"
"Aug 26, 2020",1.72,1.81,1.68,1.80,"9,289,189","225,899,656"
"Aug 25, 2020",1.91,1.91,1.66,1.72,"12,334,030","215,865,434"
"Aug 24, 2020",1.87,1.93,1.82,1.91,"6,473,486","239,234,132"
"Aug 23, 2020",1.92,1.97,1.81,1.87,"7,391,196","233,909,471"
"Aug 22, 2020",1.86,1.98,1.71,1.92,"12,743,715","240,857,016"
"Aug 21, 2020",1.75,2.16,1.75,1.86,"45,296,179","232,717,356"
"Aug 20, 2020",1.59,1.76,1.53,1.75,"8,402,508","219,559,888"
"Aug 19, 2020",1.70,1.70,1.54,1.58,"6,676,211","198,545,538"
"Aug 18, 2020",1.77,1.79,1.64,1.70,"10,239,894","212,717,906"
"Aug 17, 2020",1.80,1.90,1.72,1.77,"12,227,904","221,940,105"
"Aug 16, 2020",1.68,1.81,1.63,1.80,"8,061,243","225,709,038"
"Aug 15, 2020",1.72,1.73,1.64,1.68,"7,885,421","210,176,518"
"Aug 14, 2020",1.68,1.85,1.66,1.72,"16,136,044","215,353,588"
"Aug 13, 2020",1.49,1.79,1.48,1.68,"30,731,795","210,675,494"
"Aug 12, 2020",1.44,1.51,1.38,1.49,"7,831,001","186,670,458"
