Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.020491,0.020501,0.019454,0.019857,"12,152,182","75,526,799"
"Sep 15, 2020",0.020139,0.021586,0.020114,0.020505,"16,978,487","77,989,214"
"Sep 14, 2020",0.019802,0.020392,0.019593,0.020139,"10,363,434","76,600,190"
"Sep 13, 2020",0.020981,0.021300,0.019228,0.019815,"13,410,049","75,365,115"
"Sep 12, 2020",0.021196,0.021363,0.020680,0.020981,"9,820,302","79,802,243"
"Sep 11, 2020",0.020467,0.021441,0.019659,0.021206,"12,115,050","80,655,871"
"Sep 10, 2020",0.020161,0.021463,0.020035,0.020475,"13,563,418","77,877,012"
"Sep 09, 2020",0.018267,0.020752,0.018010,0.020152,"17,283,161","76,239,423"
"Sep 08, 2020",0.018817,0.019116,0.017688,0.018251,"8,974,662","69,045,888"
"Sep 07, 2020",0.018805,0.019015,0.017221,0.018834,"11,114,003","71,251,915"
"Sep 06, 2020",0.018039,0.019111,0.017296,0.018787,"11,566,935","71,075,530"
"Sep 05, 2020",0.019425,0.020135,0.017182,0.018017,"16,149,424","68,160,318"
"Sep 04, 2020",0.019451,0.020041,0.017870,0.019457,"20,856,523","73,608,233"
"Sep 03, 2020",0.023507,0.023714,0.018860,0.019393,"19,269,778","73,364,878"
"Sep 02, 2020",0.025626,0.026013,0.022015,0.023510,"23,428,036","88,942,379"
"Sep 01, 2020",0.026567,0.026931,0.025599,0.025613,"19,731,737","96,896,575"
"Aug 31, 2020",0.027158,0.027505,0.026355,0.026573,"14,765,321","100,529,063"
"Aug 30, 2020",0.027642,0.028664,0.027125,0.027178,"16,727,280","102,632,433"
"Aug 29, 2020",0.026862,0.028569,0.026590,0.027683,"18,994,756","104,539,894"
"Aug 28, 2020",0.025766,0.027166,0.025474,0.026855,"12,390,940","101,412,487"
"Aug 27, 2020",0.026919,0.027624,0.025110,0.025737,"18,159,895","97,192,156"
"Aug 26, 2020",0.025798,0.027415,0.025593,0.026905,"21,312,801","101,601,893"
"Aug 25, 2020",0.027941,0.028160,0.025106,0.025861,"20,888,554","97,658,684"
"Aug 24, 2020",0.025349,0.028325,0.025057,0.027981,"26,471,891","105,666,367"
"Aug 23, 2020",0.026155,0.026158,0.024883,0.025308,"10,582,360","95,400,797"
"Aug 22, 2020",0.024981,0.026442,0.023936,0.026151,"19,378,252","98,576,994"
"Aug 21, 2020",0.026680,0.028852,0.024928,0.024932,"29,176,851","93,982,318"
"Aug 20, 2020",0.024896,0.026912,0.024730,0.026709,"22,345,286","100,682,177"
"Aug 19, 2020",0.026933,0.027421,0.024023,0.024896,"32,078,356","93,849,121"
"Aug 18, 2020",0.028710,0.029591,0.025925,0.026971,"32,349,179","101,669,884"
"Aug 17, 2020",0.030161,0.032038,0.027947,0.028792,"46,826,970","108,535,095"
"Aug 16, 2020",0.030129,0.030960,0.028518,0.030161,"35,043,467","113,490,077"
"Aug 15, 2020",0.028223,0.032391,0.027030,0.030119,"64,600,574","113,332,645"
"Aug 14, 2020",0.027433,0.028709,0.026597,0.028144,"35,001,181","105,898,495"
"Aug 13, 2020",0.025547,0.028905,0.024194,0.027391,"62,872,391","103,064,998"
"Aug 12, 2020",0.023116,0.026000,0.022671,0.025544,"30,117,664","96,118,156"
"Aug 11, 2020",0.024379,0.026220,0.022079,0.023074,"43,046,296","86,822,612"
"Aug 10, 2020",0.022779,0.024397,0.021989,0.024364,"31,068,048","91,619,412"
"Aug 09, 2020",0.022871,0.023784,0.022379,0.022779,"22,917,218","85,503,771"
"Aug 08, 2020",0.021376,0.022957,0.021310,0.022847,"19,222,402","85,761,278"
"Aug 07, 2020",0.021767,0.022294,0.020683,0.021398,"13,272,237","80,320,899"
"Aug 06, 2020",0.021350,0.022300,0.021239,0.021770,"17,258,892","81,717,812"
"Aug 05, 2020",0.020650,0.021934,0.020544,0.021380,"19,397,104","80,254,036"
"Aug 04, 2020",0.020458,0.020893,0.020398,0.020646,"10,284,067","77,497,521"
"Aug 03, 2020",0.020001,0.020829,0.019902,0.020459,"11,728,783","76,657,972"
"Aug 02, 2020",0.021008,0.021338,0.019884,0.020001,"14,829,361","74,939,576"
"Aug 01, 2020",0.020258,0.021324,0.020145,0.020990,"16,202,702","78,647,566"
"Jul 31, 2020",0.020419,0.020713,0.020117,0.020258,"11,758,447","75,903,358"
"Jul 30, 2020",0.020381,0.020968,0.020120,0.020429,"14,335,220","76,544,023"
"Jul 29, 2020",0.020488,0.020800,0.020150,0.020381,"16,119,349","76,366,552"
"Jul 28, 2020",0.019913,0.021003,0.019245,0.020481,"25,539,919","76,741,157"
"Jul 27, 2020",0.020694,0.020852,0.018312,0.019829,"31,094,271","74,160,545"
"Jul 26, 2020",0.020858,0.021365,0.020632,0.020696,"13,724,140","77,403,558"
"Jul 25, 2020",0.020643,0.021343,0.020617,0.020825,"10,586,724","77,888,815"
"Jul 24, 2020",0.021052,0.021351,0.020333,0.020633,"12,009,307","77,168,961"
"Jul 23, 2020",0.021213,0.021559,0.021004,0.021067,"9,818,534","78,794,192"
"Jul 22, 2020",0.021265,0.021697,0.020988,0.021239,"12,160,964","79,437,014"
"Jul 21, 2020",0.021605,0.021963,0.020951,0.021264,"18,033,495","79,528,823"
"Jul 20, 2020",0.021244,0.022815,0.021075,0.021550,"24,992,774","80,452,453"
"Jul 19, 2020",0.021495,0.021572,0.020881,0.021230,"10,771,584","79,259,506"
"Jul 18, 2020",0.021182,0.021647,0.020763,0.021436,"9,263,882","80,028,524"
"Jul 17, 2020",0.020896,0.021775,0.020739,0.021155,"11,652,835","78,976,232"
"Jul 16, 2020",0.022258,0.023053,0.020464,0.020925,"23,420,368","78,121,044"
"Jul 15, 2020",0.022353,0.023764,0.022156,0.022275,"24,479,470","83,159,848"
"Jul 14, 2020",0.022424,0.022590,0.021281,0.022288,"20,292,118","83,209,627"
"Jul 13, 2020",0.021159,0.023709,0.021088,0.022424,"37,147,532","83,715,979"
"Jul 12, 2020",0.021298,0.021579,0.020639,0.021159,"11,749,368","78,849,952"
"Jul 11, 2020",0.021107,0.021484,0.020803,0.021300,"21,494,394","79,373,335"
"Jul 10, 2020",0.020698,0.021317,0.020130,0.021131,"22,356,819","78,745,352"
"Jul 09, 2020",0.021634,0.021681,0.019895,0.020698,"28,169,884","77,132,180"
"Jul 08, 2020",0.020104,0.021772,0.019931,0.021634,"34,537,043","75,751,593"
"Jul 07, 2020",0.019927,0.020517,0.019482,0.020100,"21,343,811","70,381,866"
"Jul 06, 2020",0.019067,0.020043,0.018896,0.019930,"16,348,986","69,784,360"
"Jul 05, 2020",0.019511,0.019615,0.018780,0.019067,"13,829,916","66,632,498"
"Jul 04, 2020",0.019243,0.019620,0.019052,0.019497,"11,394,586","68,137,992"
"Jul 03, 2020",0.019099,0.019644,0.018731,0.019230,"17,181,983","67,204,741"
"Jul 02, 2020",0.018717,0.019404,0.018340,0.019105,"17,654,038","66,767,668"
"Jul 01, 2020",0.019010,0.019614,0.018534,0.018731,"23,734,777","65,334,379"
"Jun 30, 2020",0.019663,0.019833,0.018857,0.018990,"12,405,826","66,236,063"
"Jun 29, 2020",0.020103,0.020411,0.019020,0.019687,"22,979,684","68,668,675"
"Jun 28, 2020",0.019436,0.020385,0.018297,0.020094,"22,685,629","70,088,417"
"Jun 27, 2020",0.020832,0.021269,0.019085,0.019436,"21,162,616","67,791,262"
"Jun 26, 2020",0.021614,0.021959,0.020701,0.020808,"20,663,219","72,578,451"
"Jun 25, 2020",0.022392,0.022392,0.021410,0.021591,"17,709,010","75,309,057"
"Jun 24, 2020",0.022695,0.022783,0.021479,0.022339,"25,021,689","77,918,878"
"Jun 23, 2020",0.022058,0.022928,0.021729,0.022689,"21,745,076","79,138,322"
"Jun 22, 2020",0.021398,0.022212,0.021158,0.022069,"28,447,198","76,974,527"
"Jun 21, 2020",0.022574,0.022993,0.021276,0.021406,"36,652,111","74,613,125"
"Jun 20, 2020",0.020135,0.022626,0.020135,0.022612,"40,679,423","78,816,865"
"Jun 19, 2020",0.020475,0.020690,0.019926,0.020107,"15,884,090","70,084,512"
"Jun 18, 2020",0.020738,0.020767,0.020227,0.020470,"16,152,913","71,351,279"
"Jun 17, 2020",0.020602,0.021314,0.020177,0.020735,"22,483,207","72,272,675"
"Jun 16, 2020",0.020445,0.020823,0.020113,0.020604,"18,213,320","71,817,979"
"Jun 15, 2020",0.020672,0.020672,0.018971,0.020447,"26,096,282","71,268,588"
"Jun 14, 2020",0.020702,0.021444,0.020373,0.020646,"25,603,812","71,964,284"
"Jun 13, 2020",0.020497,0.020758,0.020389,0.020657,"14,578,902","72,003,147"
"Jun 12, 2020",0.019721,0.020565,0.019580,0.020482,"18,314,060","71,391,918"
"Jun 11, 2020",0.021282,0.022004,0.019437,0.019723,"33,031,277","68,747,023"
"Jun 10, 2020",0.020219,0.021868,0.020063,0.021308,"41,641,608","74,271,575"
"Jun 09, 2020",0.020331,0.020434,0.020050,0.020239,"13,504,602","70,544,750"
"Jun 08, 2020",0.020360,0.020767,0.020178,0.020299,"14,553,848","70,753,102"
"Jun 07, 2020",0.020630,0.020782,0.019694,0.020358,"22,184,589","70,958,720"
"Jun 06, 2020",0.020698,0.021022,0.020215,0.020630,"18,947,270","71,908,005"
"Jun 05, 2020",0.021734,0.021840,0.020366,0.020698,"29,471,592","72,146,726"
"Jun 04, 2020",0.021638,0.022118,0.020678,0.021734,"36,376,128","74,623,040"
"Jun 03, 2020",0.020781,0.021963,0.020348,0.021673,"30,175,313","74,412,830"
"Jun 02, 2020",0.021709,0.022543,0.020142,0.020781,"49,591,999","71,352,655"
"Jun 01, 2020",0.020361,0.022582,0.020315,0.021812,"64,349,134","74,891,338"
"May 31, 2020",0.024080,0.024770,0.019844,0.020525,"84,351,956","70,471,188"
"May 30, 2020",0.025933,0.025957,0.023320,0.024047,"63,945,097","82,567,143"
"May 29, 2020",0.025140,0.026951,0.024914,0.025933,"62,693,681","89,039,856"
"May 28, 2020",0.024388,0.026649,0.023895,0.025153,"70,806,388","86,363,779"
"May 27, 2020",0.025818,0.026484,0.023868,0.024371,"108,160,169","83,679,051"
"May 26, 2020",0.021243,0.026642,0.021243,0.025818,"116,464,074","88,646,617"
"May 25, 2020",0.019434,0.021618,0.019246,0.021273,"45,366,900","73,041,056"
"May 24, 2020",0.020197,0.021729,0.019469,0.019500,"41,668,092","66,954,543"
"May 23, 2020",0.020432,0.020686,0.019689,0.020190,"24,244,395","69,321,974"
"May 22, 2020",0.019276,0.021006,0.018999,0.020448,"33,112,597","70,207,217"
"May 21, 2020",0.020881,0.020990,0.018506,0.019301,"42,708,408","66,269,342"
"May 20, 2020",0.022124,0.022399,0.019965,0.020850,"43,919,536","71,588,983"
"May 19, 2020",0.020630,0.022803,0.020312,0.022160,"57,761,867","76,086,960"
"May 18, 2020",0.020272,0.021140,0.020242,0.020639,"31,372,590","70,865,284"
"May 17, 2020",0.020012,0.020868,0.019960,0.020275,"30,077,323","69,615,957"
"May 16, 2020",0.019272,0.020755,0.018521,0.019978,"46,649,429","68,593,261"
"May 15, 2020",0.019938,0.020756,0.018637,0.019275,"27,886,778","66,179,385"
"May 14, 2020",0.019216,0.021445,0.018723,0.019933,"51,457,852","68,438,657"
"May 13, 2020",0.016918,0.019322,0.016892,0.019240,"61,969,904","66,059,800"
"May 12, 2020",0.015068,0.017546,0.014923,0.016937,"44,426,864","58,151,716"
"May 11, 2020",0.015356,0.015505,0.014037,0.015081,"31,341,457","51,782,204"
"May 10, 2020",0.017320,0.017320,0.014466,0.015349,"40,672,520","52,700,721"
"May 09, 2020",0.017944,0.018357,0.017254,0.017304,"21,421,610","59,413,586"
"May 08, 2020",0.017397,0.018547,0.017171,0.017933,"26,484,346","61,571,981"
