Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",50.76,51.21,46.22,46.31,"56,714,837","258,347,662"
"Sep 15, 2020",69.23,70.01,50.68,50.77,"97,147,007","282,838,972"
"Sep 14, 2020",49.06,70.10,47.85,69.23,"108,871,576","390,076,113"
"Sep 13, 2020",59.86,61.33,47.91,49.08,"55,942,860","272,899,028"
"Sep 12, 2020",48.75,59.86,48.21,59.86,"46,833,712","334,645,637"
"Sep 11, 2020",42.33,48.95,40.33,48.83,"38,217,934","269,701,205"
"Sep 10, 2020",39.17,42.64,39.17,42.16,"31,034,503","230,163,155"
"Sep 09, 2020",36.55,39.82,35.65,39.17,"55,768,361","212,842,975"
"Sep 08, 2020",39.45,39.97,36.36,36.58,"60,885,078","197,848,961"
"Sep 07, 2020",40.72,42.22,37.42,39.41,"79,465,365","213,288,933"
"Sep 06, 2020",34.92,41.44,33.14,40.72,"90,374,250","220,415,059"
"Sep 05, 2020",44.01,44.75,32.83,34.87,0,"186,838,965"
"Sep 04, 2020",48.52,49.24,41.17,44.02,0,"237,026,010"
"Sep 03, 2020",60.02,61.16,48.17,48.65,0,"263,471,873"
"Sep 02, 2020",72.93,72.93,56.04,60.01,"69,973,584","325,982,733"
"Sep 01, 2020",62.35,75.97,62.32,72.96,"85,956,755","397,157,222"
"Aug 31, 2020",75.98,76.76,61.00,62.36,"71,952,937","338,846,331"
"Aug 30, 2020",50.20,82.35,49.13,76.60,"156,351,653","419,851,653"
"Aug 29, 2020",47.36,52.08,46.21,50.21,"57,406,194","269,199,118"
"Aug 28, 2020",45.96,49.16,45.26,47.35,"12,233,144","252,865,240"
"Aug 27, 2020",50.72,52.18,44.48,46.05,"10,383,251","245,300,772"
"Aug 26, 2020",47.06,56.67,45.35,50.76,0,"271,759,761"
"Aug 25, 2020",51.95,53.75,44.06,46.97,"3,748,704","201,409,700"
"Aug 24, 2020",50.05,51.91,48.17,51.81,"2,712,217","222,151,114"
"Aug 23, 2020",45.91,52.94,45.50,50.06,"3,181,381","214,656,390"
"Aug 22, 2020",53.21,54.94,43.12,45.91,"3,951,036","196,849,570"
"Aug 21, 2020",61.33,72.58,51.82,53.18,"12,878,550","228,011,837"
"Aug 20, 2020",50.06,62.62,45.67,61.70,"11,816,629","264,556,937"
"Aug 19, 2020",32.96,50.73,32.26,50.06,"5,461,473","214,630,805"
"Aug 18, 2020",28.72,33.55,27.36,32.91,"2,140,705","141,112,277"
"Aug 17, 2020",27.74,29.57,26.52,28.70,"1,737,560","123,046,339"
"Aug 16, 2020",26.96,29.47,26.52,27.74,"1,449,110","118,925,996"
"Aug 15, 2020",29.06,29.70,25.37,26.94,"1,613,050","115,496,045"
"Aug 14, 2020",21.71,30.09,21.71,28.70,"2,308,594","123,068,770"
"Aug 13, 2020",20.92,21.74,18.71,21.45,"1,956,264","91,962,542"
"Aug 12, 2020",21.90,22.65,18.13,20.91,"1,812,211","89,673,061"
"Aug 11, 2020",31.17,31.17,21.02,21.02,"2,406,178","79,880,972"
"Aug 10, 2020",28.85,31.86,25.58,31.17,"4,667,536","118,481,876"
"Aug 09, 2020",20.56,29.29,17.74,28.85,"4,003,253","109,663,948"
"Aug 08, 2020",13.86,20.69,13.76,20.54,"2,593,178","78,060,298"
"Aug 07, 2020",12.42,14.32,12.42,13.83,"1,238,005","52,568,820"
"Aug 06, 2020",11.93,12.74,11.56,12.43,"682,845",0
"Aug 05, 2020",11.41,12.60,11.26,11.93,"437,249",0
"Aug 04, 2020",11.64,11.74,10.95,11.40,"533,531",0
"Aug 03, 2020",11.58,11.83,10.92,11.66,"432,498",0
"Aug 02, 2020",11.50,12.34,11.01,11.58,"488,442",0
"Aug 01, 2020",11.34,11.64,10.99,11.50,"492,406",0
"Jul 31, 2020",11.61,11.80,10.82,11.35,"516,084",0
"Jul 30, 2020",11.04,12.34,10.32,11.61,"672,064",0
"Jul 29, 2020",10.21,13.94,10.18,11.04,"591,798",0
"Jul 28, 2020",10.13,10.89,9.76,10.21,"499,418",0
"Jul 27, 2020",8.26,10.23,8.20,10.13,"951,816",0
"Jul 26, 2020",7.70,8.75,7.53,8.26,"634,730",0
"Jul 25, 2020",8.74,9.38,7.71,7.71,"491,897",0
"Jul 24, 2020",8.04,9.70,8.04,8.74,"515,816",0
"Jul 23, 2020",7.65,8.69,6.84,8.04,"455,439",0
"Jul 22, 2020",7.38,9.08,7.00,7.65,"365,824",0
"Jul 21, 2020",9.11,9.16,7.30,7.38,"363,648",0
"Jul 20, 2020",9.06,9.19,9.02,9.11,"1,452,850",0
