Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",5.07,5.28,4.99,5.08,"792,360,521","4,331,724,983"
"Sep 15, 2020",5.37,5.45,5.10,5.10,"897,864,384","4,344,841,941"
"Sep 14, 2020",5.30,5.60,5.13,5.35,"1,008,259,712","4,560,564,714"
"Sep 13, 2020",5.15,5.48,4.81,5.30,"1,099,475,714","4,517,285,669"
"Sep 12, 2020",4.65,5.28,4.52,5.14,"753,745,737","4,380,082,751"
"Sep 11, 2020",4.58,4.75,4.32,4.65,"633,472,140","3,961,031,724"
"Sep 10, 2020",4.71,4.87,4.47,4.58,"633,577,674","3,906,477,359"
"Sep 09, 2020",4.28,4.80,4.16,4.71,"534,097,094","4,015,065,991"
"Sep 08, 2020",4.59,4.62,4.12,4.27,"519,440,288","3,644,492,936"
"Sep 07, 2020",4.80,4.82,4.03,4.59,"675,375,183","3,917,633,675"
"Sep 06, 2020",4.14,4.90,3.76,4.80,"924,160,482","4,092,255,324"
"Sep 05, 2020",5.14,5.31,3.65,4.12,"805,800,385","3,514,880,375"
"Sep 04, 2020",5.73,5.98,4.63,5.15,"845,787,793","4,387,757,398"
"Sep 03, 2020",6.13,6.32,5.68,5.75,"763,663,457","4,900,906,249"
"Sep 02, 2020",6.28,6.43,5.66,6.14,"584,155,028","5,234,800,947"
"Sep 01, 2020",6.30,6.84,6.17,6.29,"601,527,409",0
"Aug 31, 2020",5.91,6.46,5.77,6.30,"512,604,781",0
"Aug 30, 2020",6.15,6.22,5.75,5.87,"485,335,136",0
"Aug 29, 2020",6.18,6.56,6.04,6.16,"527,290,028",0
"Aug 28, 2020",5.64,6.33,5.54,6.16,"727,162,235",0
"Aug 27, 2020",6.08,6.79,5.31,5.63,"1,289,248,953",0
"Aug 26, 2020",5.54,6.55,5.14,6.08,"1,054,351,759",0
"Aug 25, 2020",4.58,5.76,4.50,5.52,"898,847,538",0
"Aug 24, 2020",3.99,4.78,3.81,4.60,"407,690,171",0
"Aug 23, 2020",4.49,4.49,3.72,3.97,"320,749,483",0
"Aug 22, 2020",2.88,4.51,2.82,4.48,"485,801,096",0
"Aug 21, 2020",2.90,3.09,2.73,2.88,"49,313,137",0
"Aug 20, 2020",2.79,3.08,2.69,2.90,"48,819,867",0
