Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.010562,0.013500,0.010527,0.010585,"609,589","121,558,672"
"Sep 15, 2020",0.013514,0.013572,0.010543,0.010562,"634,078","121,297,775"
"Sep 14, 2020",0.010513,0.013546,0.010487,0.013524,"733,053","155,311,696"
"Sep 13, 2020",0.010559,0.013541,0.010480,0.010510,"593,256","120,706,727"
"Sep 12, 2020",0.010952,0.013778,0.010500,0.010559,"597,222","121,259,465"
"Sep 11, 2020",0.010831,0.011148,0.010439,0.010534,"565,045","120,972,213"
"Sep 10, 2020",0.010567,0.010926,0.010507,0.010831,"720,547","124,390,752"
"Sep 09, 2020",0.010564,0.010923,0.010535,0.010571,"655,825","121,397,898"
"Sep 08, 2020",0.010916,0.010958,0.010481,0.010560,"659,213","121,276,306"
"Sep 07, 2020",0.010916,0.010973,0.010511,0.010928,"782,697","125,500,700"
"Sep 06, 2020",0.010741,0.011005,0.010516,0.010927,"773,234","81,783,371"
"Sep 05, 2020",0.010406,0.010797,0.010247,0.010741,"703,467","69,651,565"
"Sep 04, 2020",0.010467,0.010725,0.010352,0.010434,"793,824","57,223,279"
"Sep 03, 2020",0.010576,0.010686,0.010324,0.010504,"727,917","57,607,916"
"Sep 02, 2020",0.010593,0.010701,0.010408,0.010586,"548,782","55,942,569"
"Sep 01, 2020",0.010618,0.010660,0.010447,0.010660,"692,694","56,330,311"
"Aug 31, 2020",0.010616,0.012510,0.010431,0.010614,"666,430","56,090,973"
"Aug 30, 2020",0.010572,0.010665,0.010428,0.010618,"604,198","50,800,334"
"Aug 29, 2020",0.010611,0.010647,0.010437,0.010505,"591,180","50,261,608"
"Aug 28, 2020",0.010620,0.010662,0.010436,0.010626,"617,083","40,212,061"
"Aug 27, 2020",0.010570,0.010676,0.010420,0.010455,"621,222","39,565,352"
"Aug 26, 2020",0.010724,0.010836,0.010420,0.010630,"556,007","34,912,056"
"Aug 25, 2020",0.010655,0.010850,0.010538,0.010719,"1,028,118","31,990,436"
"Aug 24, 2020",0.010668,0.010852,0.010536,0.010671,"1,104,383","26,511,353"
"Aug 23, 2020",0.010648,0.010701,0.010549,0.010668,"1,099,633","26,504,488"
"Aug 22, 2020",0.010740,0.010788,0.010541,0.010656,"1,166,869","26,472,777"
"Aug 21, 2020",0.010553,0.010786,0.010531,0.010737,"1,197,399","26,676,196"
"Aug 20, 2020",0.010753,0.010761,0.010544,0.010566,"1,095,251","26,250,092"
"Aug 19, 2020",0.010723,0.010826,0.010492,0.010725,"1,279,237","32,009,058"
"Aug 18, 2020",0.010511,0.010768,0.010483,0.010723,"1,196,040","29,282,657"
"Aug 17, 2020",0.010565,0.010787,0.010467,0.010491,"1,196,841","26,024,798"
"Aug 16, 2020",0.010569,0.010744,0.010546,0.010565,"1,177,694","23,544,414"
"Aug 15, 2020",0.010572,0.010711,0.010540,0.010561,"1,056,487","13,501,491"
"Aug 14, 2020",0.010749,0.010898,0.010510,0.010575,"1,044,924","17,750,216"
"Aug 13, 2020",0.010855,0.010904,0.010536,0.010744,"1,125,357","16,959,694"
"Aug 12, 2020",0.010555,0.010976,0.010428,0.010720,"959,866","16,921,912"
"Aug 11, 2020",0.010520,0.010782,0.010483,0.010748,"1,013,661","9,441,902"
"Aug 10, 2020",0.010542,0.010735,0.010491,0.010685,"934,498","9,386,119"
"Aug 09, 2020",0.010633,0.010724,0.010495,0.010558,"937,739","9,275,151"
"Aug 08, 2020",0.010607,0.010965,0.010508,0.010651,"1,168,088","9,356,242"
"Aug 07, 2020",0.010585,0.010935,0.010543,0.010606,"1,018,144","8,256,371"
"Aug 06, 2020",0.010583,0.010902,0.010557,0.010582,"809,904","7,179,587"
"Aug 05, 2020",0.010592,0.010817,0.010567,0.010590,"1,126,635","5,066,839"
"Aug 04, 2020",0.010574,0.010810,0.010543,0.010584,"1,413,398","5,063,863"
"Aug 03, 2020",0.010534,0.010856,0.010497,0.010574,"1,313,096","5,059,125"
"Aug 02, 2020",0.010964,0.011542,0.010507,0.010551,"1,212,503","5,048,218"
"Aug 01, 2020",0.010547,0.010973,0.010506,0.010605,"753,460","5,074,106"
"Jul 31, 2020",0.010571,0.010857,0.010433,0.010547,"846,920","5,046,442"
"Jul 30, 2020",0.010583,0.010621,0.010438,0.010588,"862,419","5,065,953"
"Jul 29, 2020",0.010479,0.010620,0.010403,0.010581,"1,090,430","5,062,437"
"Jul 28, 2020",0.010453,0.010598,0.010407,0.010494,"1,184,065","5,020,785"
"Jul 27, 2020",0.010418,0.010629,0.010398,0.010462,"1,184,468","5,005,809"
"Jul 26, 2020",0.010449,0.010624,0.010197,0.010430,"1,001,860","4,990,143"
"Jul 25, 2020",0.010499,0.010650,0.010173,0.010572,"1,082,846","5,058,270"
"Jul 24, 2020",0.010619,0.010682,0.010437,0.010610,"1,065,091","5,076,354"
"Jul 23, 2020",0.010619,0.010696,0.010543,0.010575,"1,067,630","5,059,619"
"Jul 22, 2020",0.010543,0.010692,0.010507,0.010617,"1,147,034","5,079,770"
"Jul 21, 2020",0.010641,0.010700,0.010515,0.010545,"1,073,453","5,045,597"
"Jul 20, 2020",0.010616,0.010702,0.010526,0.010649,"1,060,371","5,095,050"
"Jul 19, 2020",0.010564,0.010650,0.010518,0.010612,"1,300,848","5,077,381"
"Jul 18, 2020",0.010586,0.010692,0.010538,0.010574,"1,304,869","5,059,158"
"Jul 17, 2020",0.010892,0.010906,0.010531,0.010587,"1,262,912","5,065,516"
"Jul 16, 2020",0.010613,0.010988,0.010535,0.010877,"1,153,804","5,204,084"
"Jul 15, 2020",0.010625,0.010657,0.010460,0.010592,"1,194,584","5,068,061"
"Jul 14, 2020",0.010685,0.010726,0.010542,0.010623,"1,171,522","5,082,838"
"Jul 13, 2020",0.010597,0.010724,0.010518,0.010637,"1,152,843","5,089,458"
"Jul 12, 2020",0.010636,0.010662,0.010554,0.010597,"1,250,078","5,078,861"
"Jul 11, 2020",0.010670,0.010685,0.010540,0.010640,"1,287,706","5,099,225"
"Jul 10, 2020",0.010883,0.010959,0.010546,0.010678,"1,268,431","5,117,785"
"Jul 09, 2020",0.010772,0.010950,0.010502,0.010908,"1,251,477","5,228,008"
"Jul 08, 2020",0.010486,0.010822,0.010404,0.010772,"1,283,866","5,162,668"
"Jul 07, 2020",0.010514,0.010726,0.010378,0.010456,"1,168,990","5,011,077"
"Jul 06, 2020",0.010483,0.011154,0.010439,0.010674,"1,240,524","5,115,510"
"Jul 05, 2020",0.010475,0.010607,0.010436,0.010483,"1,201,160","5,024,105"
"Jul 04, 2020",0.010472,0.010699,0.010390,0.010496,"1,178,005","5,030,463"
"Jul 03, 2020",0.010645,0.010680,0.010429,0.010593,"1,251,277","5,076,879"
"Jul 02, 2020",0.010551,0.010773,0.010415,0.010634,"1,243,685","5,096,693"
"Jul 01, 2020",0.010581,0.010640,0.010450,0.010539,"1,217,940","5,051,266"
"Jun 30, 2020",0.010491,0.010637,0.010424,0.010572,"1,200,720","5,066,734"
"Jun 29, 2020",0.010546,0.010642,0.010400,0.010514,"1,254,873","5,039,100"
"Jun 28, 2020",0.010597,0.010717,0.010432,0.010546,"1,196,073","5,054,494"
"Jun 27, 2020",0.010517,0.010686,0.010502,0.010597,"1,188,274","5,078,679"
"Jun 26, 2020",0.010550,0.010609,0.010499,0.010522,"1,139,107","5,042,872"
"Jun 25, 2020",0.010718,0.010733,0.010423,0.010541,"1,219,971","5,052,118"
