Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.089426,0.094535,0.087937,0.090620,"722,357","58,472,229"
"Sep 15, 2020",0.094730,0.095602,0.089289,0.089398,"623,237","57,683,742"
"Sep 14, 2020",0.091637,0.095508,0.090717,0.094730,"655,342","61,124,475"
"Sep 13, 2020",0.093000,0.094023,0.090410,0.091615,"654,627","59,114,202"
"Sep 12, 2020",0.092746,0.093880,0.089161,0.093000,"691,383","60,007,735"
"Sep 11, 2020",0.090545,0.093885,0.088327,0.092768,"701,305","59,858,046"
"Sep 10, 2020",0.091263,0.092545,0.087876,0.090529,"755,747","58,413,225"
"Sep 09, 2020",0.089614,0.093147,0.087660,0.091263,"803,964","58,887,342"
"Sep 08, 2020",0.089471,0.090149,0.082964,0.089673,"700,829","56,890,114"
"Sep 07, 2020",0.088750,0.091844,0.080774,0.089602,"779,672","56,845,204"
"Sep 06, 2020",0.088715,0.090168,0.083774,0.088803,"693,898","56,338,350"
"Sep 05, 2020",0.092106,0.093188,0.085738,0.088715,"692,679","56,282,462"
"Sep 04, 2020",0.094936,0.096475,0.089190,0.092085,"850,630","58,420,308"
"Sep 03, 2020",0.110358,0.115874,0.093669,0.095002,"1,097,683","60,270,946"
"Sep 02, 2020",0.104167,0.111184,0.098618,0.110245,"1,156,987","69,941,658"
"Sep 01, 2020",0.108601,0.117991,0.099814,0.104140,"1,466,123","66,068,555"
"Aug 31, 2020",0.103278,0.109600,0.101366,0.108652,"1,067,091","68,930,873"
"Aug 30, 2020",0.098136,0.106281,0.093842,0.103287,"1,237,762","65,527,612"
"Aug 29, 2020",0.093314,0.098698,0.092902,0.097966,"876,755","62,151,709"
"Aug 28, 2020",0.089738,0.094212,0.089257,0.093359,"781,379","59,228,591"
"Aug 27, 2020",0.091942,0.092116,0.088247,0.089780,"745,734","56,958,519"
"Aug 26, 2020",0.090694,0.092286,0.089553,0.091955,"836,573","58,338,041"
"Aug 25, 2020",0.093431,0.093431,0.089985,0.090578,"891,620","57,464,727"
"Aug 24, 2020",0.092831,0.094967,0.091554,0.093469,"781,996","59,298,883"
"Aug 23, 2020",0.092272,0.093717,0.091375,0.092690,"286,055","58,804,316"
"Aug 22, 2020",0.091917,0.093104,0.090452,0.092285,"432,230","58,547,370"
"Aug 21, 2020",0.096570,0.096932,0.091822,0.092021,"415,458","58,379,811"
"Aug 20, 2020",0.093400,0.096984,0.093141,0.096716,"505,116","61,358,829"
"Aug 19, 2020",0.098134,0.098200,0.092547,0.093400,"438,097","59,254,553"
"Aug 18, 2020",0.098704,0.100961,0.096190,0.098048,"428,372","62,203,324"
"Aug 17, 2020",0.096507,0.100326,0.095902,0.098637,"446,394","62,577,123"
"Aug 16, 2020",0.097548,0.098369,0.095834,0.096507,"688,051","61,225,848"
"Aug 15, 2020",0.096315,0.098696,0.096121,0.097526,"530,263","61,872,349"
"Aug 14, 2020",0.097979,0.098191,0.095227,0.096266,"669,579","61,072,784"
"Aug 13, 2020",0.096248,0.098276,0.093434,0.097909,"1,080,639","62,115,252"
"Aug 12, 2020",0.095224,0.097264,0.092033,0.096232,"868,977","61,051,420"
"Aug 11, 2020",0.098750,0.099596,0.093791,0.095324,"866,040","60,475,146"
"Aug 10, 2020",0.098029,0.099745,0.096240,0.098729,"990,360","62,635,401"
"Aug 09, 2020",0.100066,0.104765,0.094584,0.097979,"974,374","61,098,958"
"Aug 08, 2020",0.094706,0.100092,0.094047,0.099971,"909,841","62,341,007"
"Aug 07, 2020",0.097172,0.098834,0.093350,0.094682,"777,339","59,043,261"
"Aug 06, 2020",0.097444,0.099066,0.094544,0.097247,"824,902","60,642,758"
"Aug 05, 2020",0.093822,0.097853,0.091969,0.097444,"833,579","60,765,199"
"Aug 04, 2020",0.090679,0.098606,0.090163,0.093888,"913,224","58,547,676"
"Aug 03, 2020",0.090703,0.092980,0.089531,0.090681,"778,985","56,548,188"
"Aug 02, 2020",0.093874,0.096536,0.088870,0.090635,"866,567","56,519,611"
"Aug 01, 2020",0.094176,0.097668,0.092521,0.093780,"1,016,805","58,480,707"
"Jul 31, 2020",0.092936,0.095327,0.091565,0.094176,"862,751","58,727,348"
"Jul 30, 2020",0.092185,0.093467,0.089420,0.093008,"861,143","57,999,147"
"Jul 29, 2020",0.091541,0.094261,0.090162,0.092185,"782,092","57,485,711"
"Jul 28, 2020",0.091383,0.093191,0.087972,0.091392,"813,596","56,991,173"
"Jul 27, 2020",0.088495,0.093795,0.084034,0.091474,"1,063,859","57,042,808"
"Jul 26, 2020",0.087564,0.089335,0.084578,0.088499,"865,478","55,187,157"
"Jul 25, 2020",0.083857,0.087699,0.080583,0.087366,"788,867","54,480,667"
"Jul 24, 2020",0.082319,0.085602,0.079547,0.083900,"754,365","52,319,180"
"Jul 23, 2020",0.078988,0.084332,0.077478,0.082319,"789,655","51,333,800"
"Jul 22, 2020",0.082103,0.082644,0.076717,0.078988,"609,511","49,256,632"
"Jul 21, 2020",0.079727,0.082683,0.077713,0.082004,"654,593","51,137,062"
"Jul 20, 2020",0.078518,0.080765,0.076117,0.079727,"630,294","49,717,421"
"Jul 19, 2020",0.078314,0.078907,0.075234,0.078424,"581,996","48,904,604"
"Jul 18, 2020",0.077503,0.079424,0.076349,0.078121,"578,178","48,715,435"
"Jul 17, 2020",0.076830,0.078250,0.076282,0.077353,"563,667","48,236,881"
"Jul 16, 2020",0.078819,0.079177,0.075510,0.076842,"391,179","47,918,451"
"Jul 15, 2020",0.079541,0.080340,0.075986,0.078858,"395,250","49,175,445"
"Jul 14, 2020",0.078795,0.080292,0.078195,0.079642,"597,939","49,663,927"
"Jul 13, 2020",0.080002,0.081266,0.078142,0.078795,"1,834,421","49,135,736"
"Jul 12, 2020",0.080372,0.081376,0.076640,0.080002,"1,427,739","49,888,981"
"Jul 11, 2020",0.081774,0.082852,0.079009,0.080362,"1,265,533","50,110,969"
"Jul 10, 2020",0.082530,0.082530,0.080184,0.081884,"1,201,137","50,786,729"
"Jul 09, 2020",0.084763,0.084877,0.081142,0.082652,"1,661,776","50,646,658"
"Jul 08, 2020",0.081913,0.085022,0.081753,0.084750,"1,803,015","51,932,236"
"Jul 07, 2020",0.082204,0.083001,0.079595,0.081952,"1,708,646","50,217,449"
"Jul 06, 2020",0.081004,0.083705,0.080579,0.082367,"2,094,823","50,471,525"
"Jul 05, 2020",0.081076,0.082378,0.080073,0.081147,"2,005,210","49,724,306"
"Jul 04, 2020",0.080124,0.081510,0.079644,0.081031,"2,018,172","49,652,806"
"Jul 03, 2020",0.081636,0.081934,0.078593,0.080171,"1,953,497","49,126,133"
"Jul 02, 2020",0.081459,0.083002,0.080109,0.081658,"1,918,385","50,037,175"
"Jul 01, 2020",0.079643,0.082202,0.078898,0.081527,"1,813,679","49,957,012"
"Jun 30, 2020",0.078425,0.081716,0.077971,0.079539,"2,115,789","48,738,804"
"Jun 29, 2020",0.078920,0.080592,0.078330,0.078583,"1,782,869","48,153,266"
"Jun 28, 2020",0.079845,0.080193,0.077430,0.079045,"1,863,731","48,435,989"
"Jun 27, 2020",0.080494,0.081196,0.079368,0.079845,"1,848,013","48,926,113"
"Jun 26, 2020",0.081221,0.082412,0.080246,0.080341,"1,670,254","49,230,578"
"Jun 25, 2020",0.080366,0.081789,0.080024,0.081232,"1,985,322","49,776,416"
"Jun 24, 2020",0.084876,0.085809,0.080288,0.080444,"2,018,765","49,293,168"
"Jun 23, 2020",0.081755,0.086103,0.081755,0.084839,"2,345,373","51,986,517"
"Jun 22, 2020",0.082419,0.085651,0.080333,0.081688,"3,575,558","50,055,691"
"Jun 21, 2020",0.082683,0.084899,0.082378,0.082432,"3,207,057","50,511,793"
"Jun 20, 2020",0.082170,0.083429,0.080355,0.082746,"3,257,924","50,703,977"
"Jun 19, 2020",0.083084,0.083931,0.081400,0.082159,"3,221,595","50,344,044"
"Jun 18, 2020",0.084653,0.086324,0.082445,0.083265,"3,593,306","51,021,726"
"Jun 17, 2020",0.082853,0.085650,0.081933,0.084587,"3,706,339","51,832,141"
"Jun 16, 2020",0.083155,0.083635,0.081761,0.082858,"3,670,253","50,772,608"
"Jun 15, 2020",0.083763,0.084034,0.080361,0.083332,"3,408,685","51,063,169"
"Jun 14, 2020",0.084101,0.084935,0.082959,0.083763,"3,629,614","51,327,028"
"Jun 13, 2020",0.084046,0.084645,0.083192,0.084192,"3,918,390","51,590,000"
"Jun 12, 2020",0.079457,0.084627,0.078588,0.084203,"3,667,426","51,596,593"
"Jun 11, 2020",0.088219,0.089563,0.079156,0.079432,"3,437,219","48,673,277"
"Jun 10, 2020",0.084347,0.088573,0.082918,0.088217,"3,894,115","54,056,154"
"Jun 09, 2020",0.080380,0.087382,0.078888,0.084349,"4,115,949","50,772,836"
"Jun 08, 2020",0.081796,0.093208,0.076902,0.080489,"4,093,427","48,449,521"
"Jun 07, 2020",0.071110,0.084733,0.071090,0.081750,"4,092,053","49,208,317"
"Jun 06, 2020",0.069412,0.072038,0.067148,0.071110,"3,369,412","42,804,216"
"Jun 05, 2020",0.069737,0.070541,0.068338,0.069412,"3,201,774","41,781,811"
"Jun 04, 2020",0.067231,0.070098,0.066432,0.069737,"3,207,653","41,977,501"
"Jun 03, 2020",0.065849,0.067291,0.065839,0.067163,"3,207,420","40,428,117"
"Jun 02, 2020",0.069434,0.071150,0.065131,0.065849,"3,327,533","39,637,279"
"Jun 01, 2020",0.065768,0.069525,0.065644,0.069344,"3,432,183","41,741,006"
"May 31, 2020",0.067402,0.067603,0.065529,0.065665,"2,962,392","39,526,282"
"May 30, 2020",0.066370,0.067523,0.065401,0.067520,"3,299,163","40,642,873"
"May 29, 2020",0.067319,0.067911,0.065745,0.066464,"3,765,563","40,007,045"
"May 28, 2020",0.063559,0.067614,0.063328,0.067258,"3,758,306","40,485,205"
"May 27, 2020",0.061403,0.064889,0.061271,0.063650,"3,494,676","38,313,284"
"May 26, 2020",0.061740,0.062691,0.060469,0.061403,"3,191,471","36,960,668"
"May 25, 2020",0.060371,0.062389,0.060094,0.061618,"3,557,655","37,090,619"
"May 24, 2020",0.063807,0.065153,0.060289,0.060440,"3,325,019","36,380,963"
"May 23, 2020",0.063616,0.065340,0.062956,0.063870,"3,446,129","38,445,729"
"May 22, 2020",0.062336,0.065432,0.061632,0.063589,"3,557,391","38,276,891"
"May 21, 2020",0.066768,0.067455,0.061162,0.062355,"3,330,534","37,533,821"
"May 20, 2020",0.067392,0.069367,0.065776,0.066509,"3,513,577","40,034,473"
"May 19, 2020",0.066476,0.069056,0.064684,0.067338,"3,481,981","40,533,161"
"May 18, 2020",0.066243,0.068381,0.064729,0.066501,"3,589,650","40,029,523"
"May 17, 2020",0.062413,0.067644,0.061947,0.066212,"3,470,225","39,855,470"
