Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.062011,0.064567,0.060891,0.061971,"1,098,020","36,905,696"
"Sep 15, 2020",0.069404,0.069989,0.061376,0.061996,"1,207,239","36,917,193"
"Sep 14, 2020",0.065902,0.069856,0.063915,0.069390,"1,040,783","41,316,067"
"Sep 13, 2020",0.071436,0.078571,0.065514,0.065934,"622,903","39,254,729"
"Sep 12, 2020",0.071625,0.078546,0.070992,0.071436,"618,221","42,526,717"
"Sep 11, 2020",0.069430,0.074730,0.065459,0.071611,"653,499","42,626,530"
"Sep 10, 2020",0.065385,0.081409,0.064965,0.069430,"1,151,782","41,324,480"
"Sep 09, 2020",0.062864,0.065976,0.060182,0.065438,"296,370","38,944,818"
"Sep 08, 2020",0.077468,0.078084,0.060715,0.062865,"321,213","37,409,844"
"Sep 07, 2020",0.075959,0.077751,0.071845,0.077442,"761,644","46,080,029"
"Sep 06, 2020",0.070402,0.076438,0.067861,0.075954,"876,348","45,190,310"
"Sep 05, 2020",0.079620,0.080894,0.068827,0.070402,"893,088","41,883,372"
"Sep 04, 2020",0.078225,0.080776,0.074942,0.079628,"1,001,605","47,367,633"
"Sep 03, 2020",0.092735,0.092799,0.077531,0.078198,"1,022,566","46,512,933"
"Sep 02, 2020",0.096800,0.096956,0.090136,0.092735,"1,413,622","55,154,419"
"Sep 01, 2020",0.093513,0.097981,0.092068,0.096817,"2,840,136","57,577,292"
"Aug 31, 2020",0.095395,0.097437,0.093044,0.093629,"2,295,011","55,676,031"
"Aug 30, 2020",0.095965,0.097395,0.093530,0.095351,"2,594,605","56,623,960"
"Aug 29, 2020",0.098411,0.104623,0.095760,0.096111,"2,590,790","57,070,404"
"Aug 28, 2020",0.088994,0.104876,0.088550,0.098164,"4,523,525","58,283,862"
"Aug 27, 2020",0.093063,0.093560,0.085387,0.088914,"2,562,416","52,787,187"
"Aug 26, 2020",0.090317,0.094435,0.089152,0.093090,"1,606,645","55,261,461"
"Aug 25, 2020",0.097001,0.100991,0.087746,0.090438,"2,351,298","53,682,298"
"Aug 24, 2020",0.093082,0.101384,0.091896,0.097208,"2,962,287","57,694,994"
"Aug 23, 2020",0.096316,0.097505,0.092195,0.093082,"2,333,914","55,241,350"
"Aug 22, 2020",0.091892,0.097319,0.089512,0.096448,"2,718,477","57,233,627"
"Aug 21, 2020",0.102492,0.103824,0.091750,0.091750,"3,024,044","54,440,509"
"Aug 20, 2020",0.097660,0.105783,0.097258,0.102878,"3,051,533","61,037,709"
"Aug 19, 2020",0.108595,0.111973,0.097444,0.097743,"4,251,025","57,986,191"
"Aug 18, 2020",0.124764,0.147015,0.109235,0.109235,"8,769,051","64,797,642"
"Aug 17, 2020",0.097000,0.137421,0.096562,0.123918,"13,111,596","73,500,443"
"Aug 16, 2020",0.094470,0.099740,0.093873,0.097000,"2,225,324","57,529,587"
"Aug 15, 2020",0.099400,0.100214,0.093845,0.094486,"2,108,213","56,033,348"
"Aug 14, 2020",0.097319,0.100856,0.096401,0.099273,"2,556,891","58,866,924"
"Aug 13, 2020",0.102092,0.102409,0.093057,0.097646,"3,347,929","57,896,862"
"Aug 12, 2020",0.096139,0.105513,0.090303,0.102129,"4,195,329","60,549,005"
"Aug 11, 2020",0.105460,0.108815,0.093900,0.096287,"2,903,738","57,080,358"
"Aug 10, 2020",0.111118,0.112132,0.102158,0.105351,"4,817,486","62,447,272"
"Aug 09, 2020",0.115522,0.116159,0.108955,0.111066,"3,293,533","65,829,306"
"Aug 08, 2020",0.111122,0.120871,0.111122,0.115596,"5,531,983","68,507,466"
"Aug 07, 2020",0.102644,0.118527,0.102574,0.111199,"6,166,034","65,895,999"
"Aug 06, 2020",0.101524,0.108983,0.101314,0.102650,"4,003,271","60,824,333"
"Aug 05, 2020",0.109572,0.109964,0.099567,0.101520,"4,591,424","60,149,221"
"Aug 04, 2020",0.100685,0.109739,0.100402,0.109449,"4,370,155","64,840,934"
"Aug 03, 2020",0.110515,0.113198,0.096893,0.100693,"6,008,929","59,648,253"
"Aug 02, 2020",0.088896,0.111393,0.086148,0.110426,"9,060,288","65,407,543"
"Aug 01, 2020",0.096514,0.102052,0.086192,0.088903,"4,996,253","52,440,822"
"Jul 31, 2020",0.102109,0.104570,0.092378,0.096514,"3,978,646","57,071,129"
"Jul 30, 2020",0.100968,0.122532,0.098351,0.102040,"8,346,132","60,335,478"
"Jul 29, 2020",0.099445,0.110322,0.094081,0.100857,"8,693,708","59,630,557"
"Jul 28, 2020",0.071555,0.124904,0.070811,0.098728,"18,169,984","58,366,525"
"Jul 27, 2020",0.086092,0.086346,0.070666,0.071992,"4,622,475","42,556,268"
"Jul 26, 2020",0.096368,0.096582,0.083658,0.086122,"4,208,854","50,904,195"
"Jul 25, 2020",0.102281,0.110051,0.094691,0.095966,"4,458,790","56,717,498"
"Jul 24, 2020",0.121762,0.131207,0.098407,0.101978,"8,093,903","60,265,114"
"Jul 23, 2020",0.094594,0.153193,0.091136,0.122127,"23,887,265","72,165,450"
"Jul 22, 2020",0.100291,0.114138,0.090663,0.094557,"8,716,110","55,868,904"
"Jul 21, 2020",0.112377,0.157148,0.092561,0.100208,"19,813,157","59,202,084"
"Jul 20, 2020",0.056366,0.153633,0.053679,0.113175,"36,683,244","66,856,853"
"Jul 19, 2020",0.046277,0.059780,0.041925,0.055963,"3,549,029","33,056,724"
"Jul 18, 2020",0.039470,0.047925,0.037540,0.046335,"2,433,326","27,366,903"
"Jul 17, 2020",0.033054,0.040219,0.032137,0.039818,"1,394,636","23,515,319"
"Jul 16, 2020",0.031953,0.039443,0.031589,0.033052,"1,251,579","19,518,027"
"Jul 15, 2020",0.032571,0.033132,0.031867,0.031993,"487,654","18,890,750"
"Jul 14, 2020",0.032346,0.033301,0.032132,0.032559,"440,978","19,222,918"
"Jul 13, 2020",0.033663,0.034339,0.032083,0.032528,"447,556","19,203,032"
"Jul 12, 2020",0.033488,0.034146,0.032863,0.033663,"416,421","19,871,668"
"Jul 11, 2020",0.032703,0.033504,0.032241,0.033489,"395,904","19,767,075"
"Jul 10, 2020",0.033380,0.033392,0.031792,0.032531,"445,982","19,199,822"
"Jul 09, 2020",0.032568,0.034014,0.032056,0.033317,"587,695","19,661,539"
"Jul 08, 2020",0.032357,0.033511,0.031575,0.032570,"455,462","19,219,202"
"Jul 07, 2020",0.031459,0.033496,0.030463,0.032277,"594,649","19,044,612"
