Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",32.19,33.71,28.91,30.54,"56,527,785","45,026,987"
"Sep 15, 2020",38.88,39.19,32.05,32.20,"52,386,703","47,435,173"
"Sep 14, 2020",39.17,41.64,37.28,38.88,"60,770,704","57,203,959"
"Sep 13, 2020",44.78,44.78,36.10,38.99,"70,821,802","57,312,401"
"Sep 12, 2020",38.06,46.16,36.45,44.75,"90,359,278","65,708,180"
"Sep 11, 2020",36.99,39.52,33.54,37.97,"55,563,473","55,688,378"
"Sep 10, 2020",34.03,40.35,34.03,36.99,"74,826,062","54,200,481"
"Sep 09, 2020",32.69,37.10,30.24,34.03,"30,525,876","49,799,391"
"Sep 08, 2020",37.76,38.29,30.81,32.70,"31,313,813","47,804,579"
"Sep 07, 2020",38.20,43.45,30.01,37.72,"56,909,786","55,082,570"
"Sep 06, 2020",29.24,38.78,24.89,38.15,"44,632,284","55,641,184"
"Sep 05, 2020",45.73,47.17,25.79,29.24,"42,181,096","42,604,644"
"Sep 04, 2020",43.64,49.28,41.11,45.69,"40,424,729","66,519,967"
"Sep 03, 2020",58.96,61.05,42.00,43.59,"54,942,816","63,310,411"
"Sep 02, 2020",61.15,65.82,53.94,58.95,"47,360,056","85,542,103"
"Sep 01, 2020",67.81,71.42,59.53,60.72,"114,352,521","88,107,459"
"Aug 31, 2020",71.32,73.80,65.07,67.82,"106,147,581","98,363,435"
"Aug 30, 2020",75.82,88.21,69.16,71.33,"313,059,168","103,327,398"
"Aug 29, 2020",55.93,89.66,54.81,75.37,"358,242,853","108,981,010"
"Aug 28, 2020",53.68,59.60,51.19,55.95,"28,443,441","80,798,238"
"Aug 27, 2020",44.06,58.55,43.84,53.53,"44,454,006","77,220,775"
"Aug 26, 2020",38.43,45.59,38.13,44.12,"9,471,782","63,570,799"
"Aug 25, 2020",41.51,41.80,38.04,38.43,"7,934,280","55,337,037"
"Aug 24, 2020",42.16,42.16,40.14,41.37,"8,378,756","59,502,479"
"Aug 23, 2020",42.26,42.50,39.23,42.13,"6,570,575","60,527,954"
"Aug 22, 2020",41.72,42.31,39.95,42.26,"7,102,566","60,636,611"
"Aug 21, 2020",45.93,47.68,41.58,41.76,"8,947,226","59,757,845"
"Aug 20, 2020",41.93,47.07,41.45,45.93,"8,605,734","65,637,058"
"Aug 19, 2020",45.21,46.14,38.18,41.93,"8,633,861","59,848,978"
"Aug 18, 2020",52.41,52.93,44.85,45.19,"11,434,263","64,377,050"
"Aug 17, 2020",45.70,53.17,44.93,51.36,"13,428,254","73,073,070"
"Aug 16, 2020",45.37,46.81,43.23,45.70,"7,994,795","64,975,508"
"Aug 15, 2020",47.38,60.70,44.00,45.27,"27,035,215","64,291,477"
"Aug 14, 2020",29.05,51.73,28.80,47.34,"19,448,954","67,084,333"
"Aug 13, 2020",30.73,32.07,26.26,28.97,"8,423,653","40,977,736"
"Aug 12, 2020",30.01,31.72,26.19,30.70,"7,621,245","43,405,647"
"Aug 11, 2020",32.19,33.82,25.96,30.02,"7,877,672","42,398,110"
"Aug 10, 2020",33.63,39.85,28.30,32.10,"10,378,435","45,244,907"
"Aug 09, 2020",27.34,33.63,25.52,33.63,"11,554,581","47,340,173"
"Aug 08, 2020",19.68,27.91,19.35,27.60,"8,522,529","38,804,573"
"Aug 07, 2020",19.69,21.54,19.19,19.67,"5,152,105","27,613,178"
"Aug 06, 2020",16.76,21.14,16.75,19.82,"5,789,503","27,782,653"
"Aug 05, 2020",14.84,16.83,14.39,16.76,"4,028,654","23,469,638"
"Aug 04, 2020",14.49,14.99,13.56,14.85,"3,577,533","20,709,009"
"Aug 03, 2020",13.85,15.08,13.45,14.50,"2,924,691","20,193,350"
