Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",3.42,3.44,3.36,3.41,"16,497,486","34,112,322"
"Sep 15, 2020",3.41,3.44,3.21,3.43,"13,709,443","34,257,923"
"Sep 14, 2020",3.36,3.47,3.32,3.41,"14,350,792","34,089,200"
"Sep 13, 2020",3.21,3.37,3.00,3.36,"12,917,763","33,603,462"
"Sep 12, 2020",3.15,3.21,3.06,3.21,"11,771,725","32,146,911"
"Sep 11, 2020",3.11,3.20,3.04,3.15,"10,565,077","31,517,701"
"Sep 10, 2020",3.06,3.13,3.05,3.10,"10,223,051","31,042,463"
"Sep 09, 2020",3.01,3.08,2.98,3.06,"10,401,813","30,573,236"
"Sep 08, 2020",3.16,3.18,2.75,3.01,"9,771,079","30,081,207"
"Sep 07, 2020",3.07,3.18,2.90,3.16,"12,356,229","31,598,364"
"Sep 06, 2020",2.89,3.11,2.58,3.07,"11,352,508","30,724,352"
"Sep 05, 2020",3.09,3.10,2.84,2.89,"10,699,477","28,913,938"
"Sep 04, 2020",3.04,3.11,2.94,3.09,"11,618,418","30,876,736"
"Sep 03, 2020",3.35,3.39,2.97,3.04,"11,776,142","30,396,570"
"Sep 02, 2020",3.63,3.65,3.29,3.35,"12,743,759","33,535,758"
"Sep 01, 2020",3.50,3.66,3.48,3.63,"13,415,629","36,306,797"
"Aug 31, 2020",3.50,3.53,3.46,3.50,"12,463,279","35,049,837"
"Aug 30, 2020",3.35,3.50,3.34,3.50,"12,071,561","34,984,226"
"Aug 29, 2020",3.44,3.46,3.28,3.35,"12,920,845","33,470,915"
"Aug 28, 2020",3.22,3.45,3.22,3.44,"11,149,333","34,408,383"
"Aug 27, 2020",3.23,3.28,3.17,3.22,"10,613,673","32,229,380"
"Aug 26, 2020",3.34,3.36,3.07,3.24,"9,863,592","32,351,884"
"Aug 25, 2020",3.49,3.49,3.28,3.34,"9,909,348","33,401,180"
"Aug 24, 2020",3.37,3.50,3.37,3.49,"11,331,690","34,897,354"
"Aug 23, 2020",3.38,3.39,3.32,3.37,"11,388,628","33,689,217"
"Aug 22, 2020",3.43,3.43,3.28,3.38,"11,741,141","33,830,588"
"Aug 21, 2020",3.36,3.58,3.31,3.43,"10,755,470","34,293,356"
"Aug 20, 2020",3.11,3.28,3.06,3.28,"12,615,556","32,750,194"
"Aug 19, 2020",3.17,3.18,2.79,3.11,"12,116,305","31,068,354"
"Aug 18, 2020",2.94,3.18,2.82,3.17,"9,283,707","31,709,620"
"Aug 17, 2020",3.24,3.24,2.59,2.94,"7,983,494","29,360,868"
"Aug 16, 2020",2.81,3.25,2.67,3.24,"7,988,175","32,391,549"
"Aug 15, 2020",2.28,2.81,2.28,2.81,"6,723,152","28,100,804"
"Aug 14, 2020",2.12,2.28,2.02,2.28,"6,042,013","22,840,176"
"Aug 13, 2020",1.95,2.13,1.93,2.12,"5,935,096","21,165,118"
"Aug 12, 2020",1.87,1.95,1.82,1.95,"5,144,469","19,515,359"
"Aug 11, 2020",1.93,1.93,1.80,1.87,"7,664,676","18,678,291"
"Aug 10, 2020",1.90,1.94,1.83,1.93,"7,718,124","19,317,512"
"Aug 09, 2020",1.91,1.93,1.84,1.90,"7,806,503","19,003,149"
"Aug 08, 2020",1.79,1.91,1.78,1.91,"7,114,715","19,098,317"
"Aug 07, 2020",1.83,1.87,1.77,1.79,"6,961,267","17,881,701"
"Aug 06, 2020",1.85,1.88,1.78,1.83,"7,101,567","18,322,585"
"Aug 05, 2020",1.75,1.85,1.66,1.85,"6,890,008","18,474,226"
"Aug 04, 2020",1.93,1.97,1.72,1.76,"6,617,115","17,551,341"
"Aug 03, 2020",1.75,1.96,1.75,1.93,"6,608,810","19,273,249"
"Aug 02, 2020",1.83,1.90,1.72,1.75,"6,141,908","17,520,680"
"Aug 01, 2020",1.88,2.10,1.75,1.83,"6,781,365","18,336,802"
"Jul 31, 2020",1.94,1.95,1.73,1.88,"6,336,379","18,849,448"
"Jul 30, 2020",1.93,2.11,1.90,1.94,"6,954,121","19,398,082"
"Jul 29, 2020",1.84,1.96,1.72,1.93,"6,826,530","19,316,082"
"Jul 28, 2020",1.88,2.09,1.82,1.84,"5,902,939","18,440,163"
"Jul 27, 2020",1.81,1.94,1.81,1.88,"6,778,855","18,834,904"
"Jul 26, 2020",1.78,2.12,1.78,1.81,"5,830,650","18,134,922"
"Jul 25, 2020",1.70,1.81,1.70,1.78,"5,721,016","17,807,345"
"Jul 24, 2020",1.72,1.85,1.70,1.70,"5,614,174","17,041,658"
"Jul 23, 2020",1.71,1.72,1.70,1.71,"5,820,037","17,129,135"
"Jul 22, 2020",1.71,1.74,1.70,1.71,"5,636,770","17,086,085"
"Jul 21, 2020",1.70,1.72,1.69,1.71,"5,637,761","17,079,297"
"Jul 20, 2020",1.70,1.71,1.69,1.70,"5,554,548","16,985,634"
"Jul 19, 2020",1.70,1.71,1.61,1.70,"5,439,197","16,976,623"
"Jul 18, 2020",1.70,1.71,1.62,1.70,"5,496,252","16,963,300"
"Jul 17, 2020",1.69,1.71,1.69,1.70,"5,442,933","16,967,843"
"Jul 16, 2020",1.65,1.70,1.60,1.70,"5,416,845","16,955,862"
"Jul 15, 2020",1.64,1.67,1.61,1.65,"5,335,099","16,461,456"
"Jul 14, 2020",1.63,1.67,1.61,1.64,"5,336,445","16,377,197"
"Jul 13, 2020",1.63,1.67,1.62,1.64,"5,160,937","16,365,079"
"Jul 12, 2020",1.65,1.67,1.62,1.63,"5,278,397","16,331,511"
"Jul 11, 2020",1.69,1.70,1.62,1.65,"5,404,210","16,477,314"
"Jul 10, 2020",1.67,1.71,1.64,1.69,"5,320,803","16,911,134"
"Jul 09, 2020",1.74,1.75,1.66,1.67,"5,860,677","16,738,641"
"Jul 08, 2020",1.66,1.75,1.65,1.74,"5,592,316","17,402,374"
"Jul 07, 2020",1.68,1.69,1.62,1.66,"5,477,015","16,597,873"
"Jul 06, 2020",1.60,1.69,1.58,1.68,"5,537,609","16,816,772"
"Jul 05, 2020",1.61,1.62,1.53,1.60,"5,174,514","15,970,490"
"Jul 04, 2020",1.58,1.62,1.53,1.60,"5,392,258","16,027,713"
"Jul 03, 2020",1.61,1.64,1.54,1.58,"5,438,957","15,841,117"
"Jul 02, 2020",1.62,1.66,1.53,1.61,"5,370,211","16,099,495"
"Jul 01, 2020",1.60,1.65,1.57,1.62,"5,244,141","16,169,501"
"Jun 30, 2020",1.59,1.62,1.57,1.60,"5,120,105","15,980,458"
"Jun 29, 2020",1.57,1.62,1.55,1.59,"5,206,438","15,888,503"
"Jun 28, 2020",1.60,1.62,1.54,1.57,"4,878,983","15,650,199"
"Jun 27, 2020",1.64,1.65,1.58,1.60,"5,525,588","15,997,748"
"Jun 26, 2020",1.70,1.72,1.62,1.64,"5,466,130","16,371,812"
"Jun 25, 2020",1.70,1.76,1.51,1.70,"5,914,307","17,006,962"
"Jun 24, 2020",1.78,1.80,1.61,1.67,"5,834,072","16,683,238"
"Jun 23, 2020",1.76,1.79,1.73,1.78,"6,129,284","17,781,039"
"Jun 22, 2020",1.68,1.76,1.68,1.75,"5,510,717","17,515,770"
"Jun 21, 2020",1.70,1.72,1.62,1.68,"5,461,343","16,769,268"
"Jun 20, 2020",1.59,1.71,1.58,1.70,"5,365,613","16,999,452"
"Jun 19, 2020",1.64,1.66,1.56,1.59,"5,524,680","15,856,728"
"Jun 18, 2020",1.66,1.66,1.59,1.64,"5,379,180","16,377,157"
"Jun 17, 2020",1.63,1.77,1.63,1.66,"5,832,097","16,558,051"
"Jun 16, 2020",1.70,1.70,1.42,1.63,"4,989,154","16,332,590"
"Jun 15, 2020",1.70,1.72,1.63,1.70,"5,213,387","16,984,794"
"Jun 14, 2020",1.75,1.77,1.68,1.70,"5,575,789","16,988,522"
"Jun 13, 2020",1.59,1.87,1.59,1.75,"5,746,215","17,481,774"
"Jun 12, 2020",1.28,1.59,1.27,1.59,"4,764,611","15,930,679"
"Jun 11, 2020",1.44,1.46,1.25,1.28,"4,408,530","12,771,713"
"Jun 10, 2020",1.32,1.44,1.17,1.44,"4,499,115","14,365,673"
"Jun 09, 2020",1.35,1.35,1.27,1.32,"4,465,576","13,164,899"
"Jun 08, 2020",1.37,1.37,1.26,1.35,"5,008,516","13,465,651"
"Jun 07, 2020",1.33,1.38,1.30,1.37,"4,762,805","13,678,833"
"Jun 06, 2020",1.43,1.43,1.33,1.33,"4,754,996","13,273,163"
"Jun 05, 2020",1.67,1.68,1.32,1.43,"5,252,691","14,258,839"
"Jun 04, 2020",1.80,1.83,1.62,1.67,"6,090,726","16,664,389"
"Jun 03, 2020",1.79,1.85,1.67,1.80,"6,399,704","17,978,278"
"Jun 02, 2020",2.05,2.06,1.71,1.79,"6,484,088","17,860,942"
"Jun 01, 2020",1.96,2.05,1.19,2.05,"6,551,444","20,486,303"
"May 31, 2020",1.83,1.96,1.65,1.96,"6,581,271","19,608,241"
"May 30, 2020",1.56,1.83,1.46,1.83,"5,962,963","18,266,595"
"May 29, 2020",1.45,1.65,1.39,1.56,"5,350,049","15,646,267"
"May 28, 2020",1.08,1.45,0.923299,1.45,"2,963,058","14,512,496"
"May 27, 2020",1.19,1.26,1.07,1.08,"1,284,285","10,797,640"
"May 26, 2020",1.26,1.26,1.02,1.19,"1,254,436","11,919,534"
"May 25, 2020",1.23,1.27,1.22,1.26,"1,279,622","12,630,114"
"May 24, 2020",1.25,1.25,1.23,1.24,"1,250,575","12,350,308"
"May 23, 2020",1.27,1.28,1.24,1.25,"1,278,567","12,472,615"
"May 22, 2020",1.29,1.29,0.678605,1.27,"1,246,118","12,694,293"
"May 21, 2020",1.29,1.30,1.27,1.29,"1,471,506","12,865,841"
"May 20, 2020",1.29,1.31,1.28,1.29,"1,719,207","12,897,595"
"May 19, 2020",1.29,1.31,1.28,1.29,"4,983,269","12,941,300"
"May 18, 2020",0.922570,1.30,0.910529,1.29,"35,377,886","12,912,145"
"May 17, 2020",0.895706,0.937292,0.890962,0.922929,"21,519,266","9,229,290"
"May 16, 2020",1.25,1.31,0.885756,0.895464,"4,923,484","8,954,642"
"May 15, 2020",1.15,1.33,0.964595,1.25,"24,896,503","12,525,635"
"May 14, 2020",1.16,1.23,0.859757,1.15,"21,948,742","11,514,691"
"May 13, 2020",1.22,1.32,1.04,1.16,"18,488,813","11,579,688"
"May 12, 2020",1.20,1.23,1.05,1.22,"28,644,364","12,176,729"
"May 11, 2020",1.04,1.20,0.957932,1.20,"10,795,559","12,016,413"
"May 10, 2020",1.14,1.14,0.998336,1.04,"15,357,123","10,377,060"
"May 09, 2020",1.15,1.21,1.05,1.14,"18,274,756","11,403,921"
"May 08, 2020",1.24,1.25,1.06,1.14,"18,351,277","11,438,214"
"May 07, 2020",1.12,1.24,1.07,1.24,"15,437,927","12,351,774"
"May 06, 2020",1.26,1.26,0.959160,1.12,"25,899,390","11,167,580"
"May 05, 2020",1.16,1.32,1.14,1.26,"33,111,125","12,616,511"
"May 04, 2020",1.02,1.21,0.992044,1.16,"22,512,025","11,609,886"
"May 03, 2020",1.19,1.21,1.01,1.02,"8,887,514","10,211,122"
"May 02, 2020",1.13,1.21,1.11,1.19,"8,979,261","11,938,950"
"May 01, 2020",0.903654,1.14,0.886347,1.14,"9,610,014","11,354,121"
"Apr 30, 2020",0.841794,0.911498,0.827512,0.903654,"7,865,106","9,036,539"
"Apr 29, 2020",0.718012,0.860646,0.631966,0.832499,"9,321,742","8,324,989"
