Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.162256,0.173466,0.152490,0.163611,"5,538,702","73,625,098"
"Sep 15, 2020",0.153737,0.198769,0.153737,0.162751,"12,997,955","73,237,818"
"Sep 14, 2020",0.119626,0.156286,0.119162,0.155048,"4,569,230","69,771,393"
"Sep 13, 2020",0.136742,0.136742,0.118755,0.119741,"3,353,669","53,883,488"
"Sep 12, 2020",0.129983,0.137480,0.125913,0.136488,"2,761,484","61,419,460"
"Sep 11, 2020",0.137196,0.137972,0.128119,0.129979,"3,190,581","58,490,327"
"Sep 10, 2020",0.137293,0.140220,0.131550,0.137122,"3,860,875","61,704,808"
"Sep 09, 2020",0.120289,0.154734,0.119817,0.137268,"6,633,383","61,770,555"
"Sep 08, 2020",0.123994,0.125530,0.114862,0.120338,"2,823,016","54,151,922"
"Sep 07, 2020",0.142475,0.146658,0.114419,0.124013,"3,662,064","55,806,072"
"Sep 06, 2020",0.103460,0.145115,0.102977,0.142825,"4,199,488","64,271,360"
"Sep 05, 2020",0.143527,0.154982,0.099794,0.103460,"4,041,799","46,556,887"
"Sep 04, 2020",0.156194,0.159098,0.129240,0.143566,"5,215,812","64,604,513"
"Sep 03, 2020",0.190181,0.191700,0.156416,0.156416,"4,844,069","70,387,357"
"Sep 02, 2020",0.186510,0.190973,0.170232,0.190162,"5,181,550","85,573,010"
"Sep 01, 2020",0.189271,0.202417,0.186407,0.186602,"4,525,351","83,970,690"
"Aug 31, 2020",0.191391,0.194993,0.186875,0.189348,"3,122,036","85,206,471"
"Aug 30, 2020",0.182087,0.192135,0.181919,0.191229,"3,896,720","86,052,966"
"Aug 29, 2020",0.198931,0.199032,0.182022,0.182233,"2,557,340","82,004,814"
"Aug 28, 2020",0.183535,0.200804,0.181699,0.198893,"4,383,263","89,501,709"
"Aug 27, 2020",0.192143,0.196009,0.182584,0.183540,"3,313,971","82,593,139"
"Aug 26, 2020",0.185988,0.195930,0.182510,0.192269,"2,953,488","86,521,121"
"Aug 25, 2020",0.183605,0.197115,0.180734,0.186362,"4,356,190","83,862,777"
"Aug 24, 2020",0.198195,0.202645,0.179776,0.183554,"3,000,687","82,599,453"
"Aug 23, 2020",0.181719,0.202832,0.181310,0.198195,"2,424,736","89,187,902"
"Aug 22, 2020",0.184623,0.189986,0.170741,0.181815,"3,740,791","81,816,532"
"Aug 21, 2020",0.219106,0.219605,0.183508,0.184568,"4,547,092","83,055,692"
"Aug 20, 2020",0.212360,0.239522,0.212114,0.219198,"3,798,902","98,639,153"
"Aug 19, 2020",0.202997,0.216728,0.191205,0.212491,"4,098,356","95,620,741"
"Aug 18, 2020",0.219835,0.235452,0.190558,0.202997,"5,195,360","91,348,800"
"Aug 17, 2020",0.218335,0.234406,0.192373,0.220625,"7,042,114","99,281,229"
"Aug 16, 2020",0.169994,0.229964,0.169695,0.218335,"6,936,373","98,250,578"
"Aug 15, 2020",0.150364,0.169973,0.150142,0.169664,"4,035,220","76,348,638"
"Aug 14, 2020",0.145710,0.169010,0.135450,0.149914,"4,140,348","67,461,324"
"Aug 13, 2020",0.117282,0.147272,0.112450,0.145686,"4,833,721","65,558,670"
"Aug 12, 2020",0.098940,0.118671,0.098880,0.117768,"5,187,616","52,995,577"
"Aug 11, 2020",0.101863,0.103446,0.091899,0.098954,"4,375,898","44,529,337"
"Aug 10, 2020",0.096345,0.102422,0.096345,0.101986,"3,955,547","45,893,714"
"Aug 09, 2020",0.093392,0.098334,0.090678,0.096286,"2,427,511","43,328,651"
